KI13_c,PS::RC::KE13,6846,mM,13,Ru5P+ATP→RuBP+ADP,Equ. Const.,"Bassham and Krause (1969), Laisk et al.(1989)",,
Vm13,,10.81,mM L-1s-1,13,Ru5P+ATP→RuBP+ADP,,The same as Vm1,,
KM161,,0.014,mM,16,ADP+Pi→ATP,ADP,Davenport and Mccarty (1986),,
KM162,,0.3,mM,16,ADP+Pi→ATP,Pi,Aflalo and Shavit (1983),,
KM163,,0.3,mM,16,ADP+Pi→ATP,ATP,r.f. Laisk et al. (1989),,
KE16,,5.7,,16,ADP+Pi→ATP,Equ. Const.,"Bassham and Krause (1969), Laisk et al.(1989)",,
Vm16,,5.47,mM L-1s-1,16,ADP+Pi→ATP,,The same as Vm1,,
KE21,,2.3,,21,F6P↔G6P,Equ. Const.,Bassham and Krause (1969),,
KE22,,0.058,,22,G6P↔G1P,Equ. Const.,Colowick and Sutherland (1942),,
KM231,,0.031,mM,23,G1P+ATP+Gn→PPi+ADP+Gn+1,G1P,Model estimate,,
KM232,,0.045,mM,23,G1P+ATP+Gn→PPi+ADP+Gn+1,ATP,Model estimate,,
KM233,,0.14,mM,23,G1P+ATP+Gn→PPi+ADP+Gn+1,ADPG,Model estimate,,
KM234,,0.8,mM,23,G1P+ATP+Gn→PPi+ADP+Gn+1,PPi,Model estimate,,
Ke23,,7.6E-03,,23,G1P+ATP+Gn→PPi+ADP+Gn+1,Eq. Const.,Model estimate,,
KA231,,2.3,,23,G1P+ATP+Gn→PPi+ADP+Gn+1,PGA,Model estimate,,
KI231,,0.9,mM,23,G1P+ATP+Gn→PPi+ADP+Gn+1,Pi,Model estimate,,
KVmo,,0.007,,23,"G1P+ATP+Gn→PPi+ADP+Gn+1
",,Model estimate,,
Vm23,,0.293,mM L-1s-1,23,G1P+ATP+Gn→PPi+ADP+Gn+1,,The same as Vm1,,
KM311,,0.077,mM,31,Pext +DHAPi→Pi+DHAPo,DHAP,"Fliege et al (1978), Portis Jr. (1983)",,
KM312,,0.63,mM,31,Pext +DHAPi→Pi+DHAPo,Pi,"Fliege et al (1978), Portis Jr. (1983)",,
KM313,,0.74,mM,31,Pext +DHAPi→Pi+DHAPo,Pext,"Fliege et al (1978), Portis Jr. (1983)",,
Vm31,,0.879,mM L-1s-1,31,Pext +DHAPi→Pi+DHAPo,,Lilley et al (1977),,
KM32,,0.25,mM,32,Pext +PGAi→Pi+PGAo,PGA,"Fliege et al (1978), Portis Jr. (1983)",,
Vm32,,0.879,mM L-1s-1,32,Pext +PGAi→Pi+PGAo,,Lilley et al (1977),,
KM33,,0.075,mM,33,Pext +GAPi→Pi+GAPo,GAP,"Fliege et al (1978), Portis Jr. (1983)",,
Vm33,,0.879,mM L-1s-1,33,Pext +GAPi→Pi+GAPo,,Lilley et al (1977),,
Vm111,,0.24,(*Vml) mM L-1s-1,111,RuBP + O2 →  PGA + PGCA,,"Ueno et al (2005); Marek and  Sspalding (1991); Ku et al (1991), Devi and Raghavendra (1993), Devi et al. (1995)",,
KM112,,0.026,mM,112,2-PGCA +H2O   GCA + Pi,PGCA,Christeller and Tolbert (1978),,
KI1121,,94,mM,112,2-PGCA +H2O   GCA + Pi,"GCA, competitive with  PGCA",Christeller and Tolbert (1978),,
KI1122,,2.55,mM,112,2-PGCA +H2O   GCA + Pi,"Pi, competitive with PGCA",Christeller and Tolbert (1978),,
Vm112,,52.42,mM L-1s-1,112,2-PGCA +H2O   GCA + Pi,,The same as Vm111,,
KM1131,,0.21,mM,113,GCEA + ATP PGA + ADP,ATP,Kleczkowski et al (1985),,
KM1132,,0.25,mM,113,GCEA + ATP PGA + ADP,GCEA,Kleczkowski et al (1985),,
KI113,,0.36,mM,113,GCEA + ATP PGA + ADP,"PGA, competitive with ATP",Kleczkowski and Randall (1988),,
KE113,,300,mM,113,GCEA + ATP PGA + ADP,Equil. Const.,Kleczkowski  et al (1985),,
Vm113,,5.72,mM L-1s-1,113,GCEA + ATP PGA + ADP,,The same as Vm111,,
KM121,,0.1,mM,121,GCAC+02H2O2+GOAc,GCAc,Tolbert (1981),,
Vm121,,1.46,mM L-1s-1,121,GCAC+02H2O2+GOAc,,The same as Vm111,,
KM1221,,0.15,mM,122,GOAc + SERc HPRc + GLYc,GOAc,Nakamura and Tolbert (1983),,
KM1222,,2.7,mM,122,GOAc + SERc HPRc + GLYc,SERc,Nakamura and Tolbert (1983),,
KI1221,,33,mM,122,GOAc + SERc HPRc + GLYc,"GLYc, competitive with SERc",Nakamura and Tolbert (1983),,
KE122,,0.24,,122,GOAc + SERc HPRc + GLYc,Equil. Const,Guynn (1982),,
Vm122,,9.92,mM L-1s-1,122,GOAc + SERc HPRc + GLYc,,The same as Vm111,,
